Epoch 2/15, Batch 440/769, Loss: 1.4806, Acc: 0.5781, LR: 0.010000
Epoch 2/15, Batch 450/769, Loss: 1.2212, Acc: 0.5938, LR: 0.010000
Epoch 2/15, Batch 460/769, Loss: 1.2364, Acc: 0.5312, LR: 0.010000
Epoch 2/15, Batch 470/769, Loss: 1.6623, Acc: 0.5000, LR: 0.010000
Epoch 2/15, Batch 480/769, Loss: 1.5079, Acc: 0.5781, LR: 0.010000
Epoch 2/15, Batch 490/769, Loss: 1.1650, Acc: 0.6250, LR: 0.010000
Epoch 2/15, Batch 500/769, Loss: 1.3976, Acc: 0.6406, LR: 0.010000
Epoch 2/15, Batch 510/769, Loss: 1.1194, Acc: 0.6719, LR: 0.010000
Epoch 2/15, Batch 520/769, Loss: 1.2889, Acc: 0.5781, LR: 0.010000
Epoch 2/15, Batch 530/769, Loss: 1.2317, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 540/769, Loss: 1.1203, Acc: 0.6406, LR: 0.010000
Epoch 2/15, Batch 550/769, Loss: 1.0947, Acc: 0.5938, LR: 0.010000
Epoch 2/15, Batch 560/769, Loss: 1.6632, Acc: 0.5156, LR: 0.010000
Epoch 2/15, Batch 570/769, Loss: 1.5169, Acc: 0.5469, LR: 0.010000
Epoch 2/15, Batch 580/769, Loss: 1.3205, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 590/769, Loss: 0.8924, Acc: 0.7031, LR: 0.010000
Epoch 2/15, Batch 600/769, Loss: 1.2903, Acc: 0.5938, LR: 0.010000
Epoch 2/15, Batch 610/769, Loss: 1.3870, Acc: 0.5938, LR: 0.010000
Epoch 2/15, Batch 620/769, Loss: 1.1726, Acc: 0.6562, LR: 0.010000
Epoch 2/15, Batch 630/769, Loss: 1.5002, Acc: 0.5312, LR: 0.010000
Epoch 2/15, Batch 640/769, Loss: 1.2430, Acc: 0.5938, LR: 0.010000
Epoch 2/15, Batch 650/769, Loss: 1.3994, Acc: 0.5312, LR: 0.010000
Epoch 2/15, Batch 660/769, Loss: 1.5213, Acc: 0.6250, LR: 0.010000
Epoch 2/15, Batch 670/769, Loss: 1.1143, Acc: 0.6562, LR: 0.010000
Epoch 2/15, Batch 680/769, Loss: 1.3844, Acc: 0.5781, LR: 0.010000
Epoch 2/15, Batch 690/769, Loss: 1.7190, Acc: 0.5312, LR: 0.010000
Epoch 2/15, Batch 700/769, Loss: 1.4595, Acc: 0.5781, LR: 0.010000
Epoch 2/15, Batch 710/769, Loss: 1.2698, Acc: 0.6094, LR: 0.010000
Epoch 2/15, Batch 720/769, Loss: 1.6666, Acc: 0.5000, LR: 0.010000
Epoch 2/15, Batch 730/769, Loss: 1.2322, Acc: 0.5000, LR: 0.010000
Epoch 2/15, Batch 740/769, Loss: 1.0778, Acc: 0.6406, LR: 0.010000
Epoch 2/15, Batch 750/769, Loss: 1.7041, Acc: 0.5000, LR: 0.010000
